1.327959	1.352099	1.334351	1.293605	1.228895	1.148636	1.047403	0.909574	0.707436	0.409078	0.009231	-0.343921	-0.587145	-0.700863	-0.709755	-0.590160	-0.153113	0.516549	0.949519	1.118359	1.150738	1.123536	1.066128	0.978233	0.852710	0.673301	0.384375	-0.059976	-0.635051	-0.971704	-1.155476	-1.270516	-1.346385	-1.400181	-1.438148	-1.464247	-1.481424	-1.492296	-1.497314	-1.507217	-1.510239	-1.516121	-1.516272
1.329198	1.348777	1.334108	1.291338	1.230567	1.146946	1.042513	0.903860	0.709247	0.401473	0.009180	-0.368381	-0.594651	-0.704372	-0.713693	-0.565779	-0.111770	0.559252	0.979186	1.118885	1.146730	1.120870	1.061983	0.975269	0.848477	0.668526	0.372589	-0.107604	-0.632519	-0.984141	-1.161042	-1.271016	-1.349359	-1.403873	-1.440490	-1.467259	-1.481441	-1.492803	-1.499286	-1.506113	-1.512549	-1.515956	-1.519098
1.333061	1.347695	1.333191	1.288922	1.223040	1.141598	1.040361	0.902233	0.695128	0.378940	-0.005552	-0.376185	-0.605783	-0.706799	-0.709716	-0.574106	-0.141376	0.564847	0.966324	1.121159	1.148593	1.119765	1.060772	0.976369	0.850401	0.648791	0.377475	-0.102444	-0.650428	-0.977498	-1.163785	-1.270907	-1.349084	-1.404166	-1.440891	-1.466278	-1.482061	-1.491189	-1.498340	-1.506178	-1.509767	-1.517223	-1.519803
1.329603	1.347816	1.334685	1.285013	1.225734	1.141182	1.040892	0.906421	0.711873	0.391998	0.003655	-0.376926	-0.604423	-0.712246	-0.717996	-0.597132	-0.195548	0.517994	0.962218	1.114766	1.145681	1.118455	1.059699	0.971900	0.843983	0.657440	0.370764	-0.106473	-0.643414	-0.991749	-1.176466	-1.276980	-1.350574	-1.406045	-1.442831	-1.469873	-1.485741	-1.495336	-1.503491	-1.508326	-1.510613	-1.518257	-1.522229
1.327145	1.346912	1.327821	1.287899	1.223347	1.145031	1.043899	0.910416	0.709346	0.388975	-0.018449	-0.368146	-0.603358	-0.714220	-0.719555	-0.576967	-0.143460	0.509062	0.961598	1.113416	1.145698	1.114902	1.058111	0.968952	0.841897	0.653330	0.351152	-0.127130	-0.643130	-0.987170	-1.170085	-1.281132	-1.353374	-1.404405	-1.443535	-1.470571	-1.486098	-1.496996	-1.505780	-1.508739	-1.514569	-1.520884	-1.522635
1.328671	1.343813	1.323985	1.275181	1.212225	1.129654	1.023700	0.874966	0.659697	0.336400	-0.078482	-0.429059	-0.632706	-0.721757	-0.713163	-0.541895	-0.027320	0.658204	1.012813	1.128994	1.143070	1.103109	1.040261	0.950034	0.813957	0.599497	0.270010	-0.249950	-0.753622	-1.042243	-1.198249	-1.300808	-1.371671	-1.419664	-1.453700	-1.475391	-1.492451	-1.501141	-1.508794	-1.514294	-1.517918	-1.524359	-1.527087
1.335400	1.341816	1.317446	1.271446	1.199145	1.114196	0.999359	0.851171	0.610974	0.269487	-0.147126	-0.453678	-0.656452	-0.731915	-0.708338	-0.511173	0.064134	0.725718	1.023634	1.131195	1.140456	1.095092	1.033953	0.935446	0.789324	0.568483	0.232456	-0.280465	-0.756773	-1.057795	-1.207636	-1.305186	-1.375158	-1.424475	-1.457377	-1.479247	-1.493845	-1.501791	-1.509200	-1.517020	-1.518520	-1.522683	-1.527357
1.334037	1.343405	1.315017	1.264384	1.197031	1.110731	1.000956	0.841394	0.599431	0.252406	-0.137113	-0.481194	-0.661076	-0.736481	-0.707711	-0.506201	0.046746	0.711535	1.020620	1.128101	1.137953	1.098187	1.031576	0.933712	0.799192	0.575927	0.221555	-0.303643	-0.797867	-1.065402	-1.211536	-1.311047	-1.377417	-1.427130	-1.460376	-1.480173	-1.496062	-1.504640	-1.511406	-1.519081	-1.521529	-1.523903	-1.530951
1.332659	1.338878	1.313412	1.260673	1.193464	1.105990	1.001097	0.829380	0.604604	0.252982	-0.136464	-0.482708	-0.671569	-0.739859	-0.710856	-0.510834	0.055400	0.747184	1.032424	1.129884	1.133420	1.094092	1.027588	0.923971	0.780433	0.563932	0.212982	-0.328037	-0.806027	-1.079431	-1.225416	-1.318468	-1.384051	-1.431588	-1.462856	-1.484875	-1.498015	-1.506780	-1.512566	-1.518757	-1.522692	-1.526963	-1.529508
1.337147	1.338765	1.308952	1.257745	1.188616	1.104055	0.993452	0.828020	0.583815	0.234896	-0.148617	-0.483041	-0.666048	-0.735326	-0.701862	-0.476371	0.084856	0.703151	1.032513	1.129185	1.136295	1.096297	1.028048	0.929903	0.786430	0.573810	0.228972	-0.295536	-0.780687	-1.055507	-1.209653	-1.306192	-1.376518	-1.425551	-1.458115	-1.478983	-1.494089	-1.506791	-1.512236	-1.518618	-1.519922	-1.526124	-1.528121
